drum_id,tenant,rack,product,part_number,date,days_elapsed,daily_min_cable_length_m,daily_max_cable_length_m,daily_avg_cable_length_m,linear_forecast_m,forecast_error_m,sensor_readings_count,avg_battery_voltage,avg_signal_strength,initial_cable_length_m,order_threshold_m,depletion_rate_m_per_day,r_squared
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-03,0,380.00,380.00,380.0,399.1,-19.1,14,3988.00,-68,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-04,1,380.00,380.00,380.0,397.6,-17.6,23,3988.00,-67,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-05,2,380.00,380.00,380.0,396.0,-16.0,27,3988.00,-68,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-06,3,380.00,380.00,380.0,394.5,-14.5,25,3988.00,-67,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-07,4,380.00,380.00,380.0,392.9,-12.9,24,3988.00,-67,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-08,5,380.00,380.00,380.0,391.4,-11.4,24,3988.00,-65,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-09,6,380.00,380.00,380.0,389.8,-9.8,25,3988.00,-66,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-10,7,380.00,380.00,380.0,388.3,-8.3,25,3988.00,-66,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-11,8,380.00,380.00,380.0,386.8,-6.8,25,3988.00,-66,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-12,9,380.00,380.00,380.0,385.2,-5.2,26,3988.00,-65,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-13,10,380.00,380.00,380.0,383.7,-3.7,28,3988.00,-64,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-14,11,380.00,380.00,380.0,382.1,-2.1,22,3988.00,-63,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-15,12,380.00,380.00,380.0,380.6,-0.6,24,3988.00,-68,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-16,13,380.00,380.00,380.0,379.0,1.0,25,3988.00,-65,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-17,14,376.68,380.00,377.9,377.5,0.4,28,3988.00,-69,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-18,15,376.68,376.68,376.7,375.9,0.8,24,3988.00,-67,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-19,16,376.68,376.68,376.7,374.4,2.3,24,3988.00,-68,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-20,17,376.68,376.68,376.7,372.8,3.9,27,3988.00,-69,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-21,18,376.68,376.68,376.7,371.3,5.4,24,3988.00,-65,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-22,19,376.68,376.68,376.7,369.7,7.0,25,3988.00,-65,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-23,20,355.45,376.68,362.4,368.2,-5.8,31,3988.00,-68,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-24,21,355.45,355.45,355.5,366.6,-11.1,26,3988.00,-69,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-25,22,355.45,355.45,355.5,365.1,-9.6,25,3988.00,-69,380.00,80.00,1.55,0.9310
1167,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 7G1,5",1119307,2025-06-26,23,355.45,355.45,355.5,363.5,-8.0,27,3988.00,-69,380.00,80.00,1.55,0.9310
