drum_id,tenant,rack,product,part_number,date,days_elapsed,daily_min_cable_length_m,daily_max_cable_length_m,daily_avg_cable_length_m,linear_forecast_m,forecast_error_m,sensor_readings_count,avg_battery_voltage,avg_signal_strength,initial_cable_length_m,order_threshold_m,depletion_rate_m_per_day,r_squared
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-04,0,493.26130,500.00000,494.9,489.7,5.2,26,4062.58,-61,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-05,1,493.26130,493.26130,493.3,489.2,4.1,25,4051.36,-60,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-06,2,493.26130,493.26130,493.3,488.7,4.6,24,4024.58,-60,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-07,3,493.26130,493.26130,493.3,488.2,5.1,26,3997.35,-60,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-08,4,484.75390,493.26130,488.2,487.7,0.5,34,3971.94,-66,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-09,5,484.76590,484.76590,484.8,487.2,-2.4,25,3944.92,-70,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-10,6,484.75990,484.76590,484.8,486.7,-1.9,44,3916.18,-69,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-11,7,484.75990,484.76590,484.8,486.2,-1.4,32,3891.38,-69,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-12,8,484.75990,484.75990,484.8,485.7,-0.9,25,3872.40,-70,500.00,100.00,0.50,0.7529
1051,Kunde A,Regal OG,"ÖLFLEX® CLASSIC 110 34G0,75",1119134,2025-07-13,9,484.75990,484.75990,484.8,485.2,-0.4,24,3850.46,-69,500.00,100.00,0.50,0.7529
