drum_id,tenant,rack,product,part_number,date,days_elapsed,daily_min_cable_length_m,daily_max_cable_length_m,daily_avg_cable_length_m,linear_forecast_m,forecast_error_m,sensor_readings_count,avg_battery_voltage,avg_signal_strength,initial_cable_length_m,order_threshold_m,depletion_rate_m_per_day,r_squared
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-12,0,500.00,500.00,500.0,512.1,-12.1,14,3959.57,-57,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-13,1,500.00,500.00,500.0,507.5,-7.5,26,3954.46,-57,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-14,2,500.00,500.00,500.0,502.8,-2.8,24,3951.96,-56,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-15,3,500.00,500.00,500.0,498.1,1.9,24,3951.96,-56,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-16,4,500.00,500.00,500.0,493.4,6.6,25,3947.52,-57,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-17,5,500.00,500.00,500.0,488.7,11.3,27,3947.04,-59,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-18,6,500.00,500.00,500.0,484.0,16.0,25,3944.00,-57,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-19,7,500.00,500.00,500.0,479.3,20.7,26,3943.38,-55,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-20,8,500.00,500.00,500.0,474.6,25.4,24,3941.08,-54,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-21,9,500.00,500.00,500.0,469.9,30.1,26,3937.27,-55,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-22,10,498.84,500.00,499.1,465.2,33.9,27,3936.48,-54,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-23,11,498.85,498.85,498.9,460.5,38.4,26,3934.15,-55,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-24,12,498.85,498.85,498.9,455.8,43.1,14,3931.93,-56,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-25,13,486.49,498.85,488.5,451.1,37.4,19,3930.53,-61,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-26,14,486.49,486.49,486.5,446.4,40.1,24,3931.50,-59,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-27,15,486.49,486.49,486.5,441.7,44.8,25,3925.52,-60,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-28,16,486.49,486.49,486.5,437.1,49.4,24,3926.38,-61,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-29,17,486.49,486.49,486.5,432.4,54.1,24,3923.33,-59,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-09-30,18,471.12,486.49,477.0,427.7,49.3,28,3920.43,-60,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-01,19,445.62,471.12,457.0,423.0,34.0,34,3920.03,-56,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-02,20,445.62,445.62,445.6,418.3,27.3,25,3920.04,-55,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-03,21,445.62,445.62,445.6,413.6,32.0,26,3912.85,-56,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-04,22,445.62,445.62,445.6,408.9,36.7,24,3918.38,-54,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-05,23,445.62,445.62,445.6,404.2,41.4,25,3913.40,-54,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-06,24,405.23,445.62,422.0,399.5,22.5,32,3912.47,-56,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-07,25,405.23,405.23,405.2,394.8,10.4,26,3907.46,-60,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-08,26,377.17,405.23,388.2,390.1,-1.9,32,3905.88,-59,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-09,27,346.35,377.17,360.4,385.4,-25.0,32,3905.53,-58,500.00,80.00,4.69,0.9421
1487,Kunde A,Regal OG,"ÖLFLEX® CLASSIC FD 810 18G0,75",0026126,2025-10-10,28,346.35,346.35,346.4,380.7,-34.3,24,3907.42,-58,500.00,80.00,4.69,0.9421
